messageTime,currGameStat,gameFlow
00:00:00,"In the top of the 1st inning, Kia Tigers' second batter, 윤도현, stepped up to the plate against Samsung Lions' pitcher 황동재 with no balls or strikes and one out recorded.","In the top of the 1st inning, Kia Tigers' second batter, 윤도현, stepped up to the plate against Samsung Lions' pitcher 황동재 with no balls or strikes and one out recorded."
00:00:30,"In the first inning, Kia Tigers batter 윤도현 faced Samsung Lions pitcher 황동재 and took a 145 km/h fastball for ball one, with one out and no runners on base. Kia Tigers batter 윤도현 was hit by a pitch from Samsung Lions pitcher 황동재, with a runner now on second base and one out recorded.","In the top of the first inning, Kia Tigers' 윤도현 came to bat against Samsung Lions' pitcher 황동재 with one out and no balls or strikes. After taking a 145 km/h fastball for ball one, 윤도현 was hit by a pitch, allowing him to reach base. This put a runner on second base with one out for the Kia Tigers. The game remains in its early stages with Kia Tigers currently at bat, looking to build on this opportunity."
00:01:00,"In the first inning, Kia Tigers batter 윤도현 faced Samsung Lions pitcher 황동재 and took a 145 km/h fastball for ball one with one out and no runners on base. Kia Tigers batter 윤도현 was hit by a pitch from Samsung Lions pitcher 황동재, with a runner now on second base and one out recorded.","The game is in the early stages of the first inning with the Kia Tigers currently at bat against the Samsung Lions. Kia’s 윤도현 started his at-bat by taking a 145 km/h fastball for ball one before being hit by a pitch, allowing him to reach base. This has put a runner on second with one out, giving the Tigers a promising scoring opportunity. Samsung’s pitcher 황동재 has yet to record a strikeout or prevent the runner from advancing. The Tigers look to capitalize on this early chance to set the tone for the game."
00:01:30,"In the first inning, Kia Tigers’ third batter, Kim Do-young, stepped up to the plate with runners on first and one out, facing Samsung Lions’ pitcher Hwang Dong-jae. Kia Tigers’ batter 김도영 faced a 132 km/h forkball from Samsung Lions’ pitcher 황동재 and fouled off the first pitch, bringing the count to no balls and one strike with runners on first base.","The game remains in the first inning with the Kia Tigers at bat against the Samsung Lions. Earlier, Kia’s 윤도현 was hit by a pitch, putting a runner on second with one out and creating an early scoring opportunity. Now, with runners on first and one out, Kia’s third batter 김도영 is battling Samsung’s pitcher 황동재, having just fouled off a 132 km/h forkball for a strike. Samsung’s pitcher has yet to find his rhythm, as the Tigers continue to apply pressure in this promising start. Kia looks to build on this momentum and capitalize on the early chances."
00:02:00,"In the first inning with one out, Kia Tigers batter Kim Do-young faced Samsung Lions pitcher Hwang Dong-jae and took a 145 km/h fastball for ball two, bringing the count to one ball and one strike with a runner on first base. Kia Tigers batter 김도영 faced a 144 km/h fastball from Samsung Lions pitcher 황동재 and hit a foul ball, bringing the count to one ball and two strikes with one out in the first inning.","In the first inning, the Kia Tigers continue to press against Samsung Lions pitcher Hwang Dong-jae, who has yet to settle into a groove. After 윤도현 was hit by a pitch earlier, putting a runner on second with one out, Kia now has runners on first and one out. Batter 김도영 is working a full count, having fouled off several fastballs in his at-bat. The Tigers are maintaining their early offensive momentum, looking to capitalize on these scoring opportunities. Samsung’s pitching remains under pressure as Kia aims to break through in this promising start."
00:02:30,"In the first inning, Kia Tigers’ batter Kim Do-young faced a forkball pitched by Samsung Lions’ pitcher Hwang Dong-jae, with a count of one ball and two strikes and one out in the inning. Kia Tigers batter 김도영 hit a ground ball to the third baseman and reached base, with the Samsung Lions fielding. Kia Tigers’ baserunner 윤도현 was forced out at second base on a play from the Samsung Lions’ third baseman to the second baseman, resulting in the second out of the inning.","The Kia Tigers have continued to apply pressure on Samsung Lions pitcher Hwang Dong-jae in the first inning, building on an earlier hit-by-pitch that put a runner on second with one out. Kim Do-young battled through a full count, eventually grounding out to the third baseman but reaching base safely. However, a quick defensive play by Samsung forced out 윤도현 at second, marking the second out of the inning. Despite this, Kia’s early offensive momentum remains evident as they look to capitalize on their scoring chances. Samsung’s pitching and defense are being tested as the inning progresses."
00:03:00,"In the first inning, with two outs and a runner on first, Kia Tigers’ fourth batter Choi Hyung-woo stepped up to bat against Samsung Lions’ pitcher Hwang Dong-jae, starting his plate appearance with no balls and no strikes.","The Kia Tigers have maintained their offensive pressure on Samsung Lions pitcher Hwang Dong-jae in the first inning, following an earlier hit-by-pitch that put a runner in scoring position. Kim Do-young managed to reach base despite grounding out, but a strong defensive play by Samsung resulted in the second out at second base. Now, with two outs and a runner on first, Kia’s fourth batter, Choi Hyung-woo, is beginning his at-bat, looking to extend the inning. Samsung’s defense continues to be tested as Kia aims to convert their opportunities into runs. The early intensity suggests a tightly contested game as the first inning unfolds."
00:03:30,"In the top of the 1st inning, Kia Tigers batter Choi Hyung-woo faced Samsung Lions pitcher Hwang Dong-jae and took a forkball for ball one, with two outs and a runner on first base. Kia Tigers’ batter 최형우 faced a 2-0 ball count after Samsung Lions’ pitcher 황동재 threw a 143 km/h fastball for ball two in the first inning with two outs and a runner on first.","The Kia Tigers have continued to apply pressure on Samsung Lions pitcher Hwang Dong-jae in the first inning, building on an earlier hit-by-pitch that put a runner in scoring position. Despite Kim Do-young reaching base, a solid defensive play by Samsung secured the second out at second base. Now with two outs and a runner on first, Kia’s Choi Hyung-woo is working a 2-0 count against Hwang, who has mixed in a 143 km/h fastball and a forkball. Samsung’s defense remains under scrutiny as Kia looks to capitalize on their opportunities early in the game. The tight battle in this opening inning sets the tone for a competitive matchup."
00:04:00,"In the top of the 1st inning, Kia Tigers batter Choi Hyung-woo faced a forkball from Samsung Lions pitcher Hwang Dong-jae and took ball three, bringing the count to 3-0 with two outs and a runner on first base.","The Kia Tigers have maintained pressure on Samsung Lions pitcher Hwang Dong-jae in the first inning, following an earlier hit-by-pitch that put a runner in scoring position. Despite Kim Do-young reaching base, Samsung’s defense managed to secure the second out at second base. Currently, with two outs and a runner on first, Kia’s Choi Hyung-woo is working a 3-0 count after taking a forkball for ball three. Hwang has been mixing his 143 km/h fastball and forkball, but Kia continues to look for a chance to break through. The early intensity from both teams highlights the competitive nature of this matchup."
00:04:30,"In the top of the 1st inning, Kia Tigers batter Choi Hyung-woo faced a 143 km/h fastball from Samsung Lions pitcher Hwang Dong-jae, resulting in a called strike with a 3-1 count and two outs, while a runner occupied first base.","The Kia Tigers have been applying consistent pressure on Samsung Lions pitcher Hwang Dong-jae early in the game, capitalizing on a hit-by-pitch to get a runner on base. Despite Kim Do-young reaching safely, Samsung’s defense held strong to record two outs, including a key play at second base. Currently, with two outs and a runner on first, Kia’s Choi Hyung-woo is battling a 3-1 count after taking a fastball strike. Hwang has been effectively mixing his 143 km/h fastball and forkball to keep Kia off balance. The first inning continues to showcase a tightly contested duel between both teams."
